name,location,status,date,templeOrgId,templeNameId,city,stateRegion,country,sortDate
Maceió Brazil Temple,Brazil,ANNOUNCED,Announced,4148125,maceio-brazil-temple,,,,
Norfolk Virginia Temple,"Virginia, United States",ANNOUNCED,Announced,4171165,norfolk-virginia-temple,Virginia,, United States,
Cusco Peru Temple,Peru,ANNOUNCED,Announced,4148124,cusco-peru-temple,,,,
Greenville South Carolina Temple,"South Carolina, United States",ANNOUNCED,Announced,4171164,greenville-south-carolina-temple,South Carolina,, United States,
Shanghai People’s Republic of China Temple,China,ANNOUNCED,Announced,4130716,shanghai-people’s-republic-of-china-temple,,,,
Birmingham England Temple,United Kingdom,CONSTRUCTION,Construction,4148123,birmingham-england-temple,,,,
Dubai United Arab Emirates Temple,United Arab Emirates,ANNOUNCED,Announced,4130715,dubai-united-arab-emirates-temple,,,,
Rapid City South Dakota Temple,"South Dakota, United States",ANNOUNCED,Announced,4171163,rapid-city-south-dakota-temple,South Dakota,, United States,
Barcelona Spain Temple,Spain,ANNOUNCED,Announced,4148122,barcelona-spain-temple,,,,
Benin City Nigeria Temple,Nigeria,CONSTRUCTION,Construction,4130714,benin-city-nigeria-temple,,,,
Liverpool Australia Temple,Australia,ANNOUNCED,Announced,4171162,liverpool-australia-temple,,,,
Brazzaville Republic of the Congo Temple,Republic of the Congo,CONSTRUCTION,Construction,4148121,brazzaville-republic-of-the-congo-temple,,,,
Nouméa New Caledonia Temple,New Caledonia,ANNOUNCED,Announced,4171161,noumea-new-caledonia-temple,,,,
Pittsburgh Pennsylvania Temple,"Cranberry Township, Pennsylvania, United States",OPERATING,"September 15, 2024",4130713,pittsburgh-pennsylvania-temple,Cranberry Township, Pennsylvania, United States,"September 15, 2024"
Lubumbashi Democratic Republic of the Congo Temple,Democratic Republic of the Congo,CONSTRUCTION,Construction,4130712,lubumbashi-democratic-republic-of-the-congo-temple,,,,
San Jose del Monte Philippines Temple,Philippines,ANNOUNCED,Announced,4171160,san-jose-del-monte-philippines-temple,,,,
